fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns
55,./playback/STIMULI/chinese/wavFilesTest/BAC009S0140W0424_BAC009S0140W0359_03_13_nspkrs_1.wav,1,2,TEST,0.0,7.199,7.702999999999999,1,9.559565685744843,21.698286208814626,23.73585726858619,65.76110074539724,1.4968550406617585,1.0728366368859952,39.178099805528156,0,3.13
14,./playback/STIMULI/chinese/wavFilesTest/BAC009S0043W0165_BAC009S0043W0142_02_66_nspkrs_1.wav,1,1,TEST,0.0,6.37,7.76,1,6.528674408246488,33.87687753268797,34.29227586555945,90.68230633928903,0.9944632085779554,0.9669543025335088,34.061030815604234,0,2.66
28,./playback/STIMULI/chinese/wavFilesTest/BAC009S0071W0167_BAC009S0083W0402_04_61_nspkrs_2.wav,2,1,TEST,0.0,7.785,10.193,1,10.039327860864404,32.95843266419333,33.917217676730445,93.01605231532926,2.382421562655189,3.468910644774539,48.099534413900535,0,4.61
84,./playback/STIMULI/chinese/wavFilesTest/BAC009S0347W0130_BAC009S0761W0231_04_92_nspkrs_2.wav,2,1,TEST,0.0,9.948,10.39,1,18.118120429482587,31.223515551094682,34.26417885596459,113.86594967228922,0.33199932515134556,2.5830982692290547,28.661680128468415,0,4.92
74,./playback/STIMULI/chinese/wavFilesTest/BAC009S0210W0338_BAC009S0210W0209_02_63_nspkrs_1.wav,1,2,TEST,0.0,7.392,10.409,1,14.729660503653264,32.39179754182476,35.73498714635924,193.81395436495677,3.3352361529569166,2.369302093155582,36.32738734979392,0,2.63
17,./playback/STIMULI/chinese/wavFilesTest/BAC009S0050W0290_BAC009S0078W0244_04_21_nspkrs_2.wav,2,1,TEST,0.0,8.511000000000001,9.052999999999999,1,0.6915442058072472,17.51812451693341,20.327143893339844,24.577871315479456,3.2029502380388504,0.6343225391886875,38.433673718937996,0,4.21
29,./playback/STIMULI/chinese/wavFilesTest/BAC009S0071W0461_BAC009S0071W0413_03_17_nspkrs_1.wav,1,1,TEST,0.0,5.977,6.8660000000000005,1,13.211760472016636,45.892363509137525,46.05544145222156,91.32198425121527,1.832326648655691,1.170898469236306,37.5069062622954,0,3.17
81,./playback/STIMULI/chinese/wavFilesTest/BAC009S0250W0193_BAC009S0715W0430_03_12_nspkrs_2.wav,2,1,TEST,0.0,6.3260000000000005,7.62,1,2.8140037684578942,34.983087698989245,35.997575793248124,58.13012254869801,0.8982520226671014,0.18838623422917067,43.245963395189044,0,3.12
5,./playback/STIMULI/chinese/wavFilesTest/BAC009S0019W0426_BAC009S0733W0302_02_75_nspkrs_2.wav,2,2,TEST,0.0,6.487,6.919,1,1.6688376245463985,29.22216282089647,30.5344285930277,3.4091653725081983,0.558550499096274,0.5207848044607317,61.03872804082885,0,2.75
98,./playback/STIMULI/chinese/wavFilesTest/BAC009S0734W0238_BAC009S0905W0174_04_15_nspkrs_2.wav,2,2,TEST,0.0,8.39,8.746,1,1.7840230112432494,33.17905521704966,34.46763993616706,139.01396464550163,1.4457131282173936,1.7628820126261502,35.32924368561795,0,4.15
65,./playback/STIMULI/chinese/wavFilesTest/BAC009S0191W0224_BAC009S0745W0306_04_33_nspkrs_2.wav,2,2,TEST,0.0,8.767000000000001,9.157,1,1.8389765926760901,18.43504078931376,20.613795782439723,129.99175832592255,1.10189045927169,0.013643654143223216,43.37238735267917,0,4.33
85,./playback/STIMULI/chinese/wavFilesTest/BAC009S0347W0352_BAC009S0347W0314_03_13_nspkrs_1.wav,1,1,TEST,0.0,6.0,6.641,1,14.538041908382326,18.441432046831874,22.83598264994238,37.427741519309166,2.539277936072711,2.7538179224868884,37.67967190844557,0,3.13
18,./playback/STIMULI/chinese/wavFilesTest/BAC009S0050W0308_BAC009S0050W0275_04_85_nspkrs_1.wav,1,1,TEST,0.0,8.088,8.565,1,8.546695934302619,17.957006053413227,19.057267537285703,121.49085554057376,1.0582477053113841,1.912685056006751,36.90952043428069,0,4.85
13,./playback/STIMULI/chinese/wavFilesTest/BAC009S0039W0451_BAC009S0039W0210_04_62_nspkrs_1.wav,1,1,TEST,0.0,7.627999999999999,8.09,1,0.3203774183182304,23.783019216985874,25.266423767098644,98.25531578086003,0.49536194444098225,1.2469045223988928,30.932636649261557,0,4.62
72,./playback/STIMULI/chinese/wavFilesTest/BAC009S0203W0326_BAC009S0665W0433_04_17_nspkrs_2.wav,2,1,TEST,0.0,8.437999999999999,8.783999999999999,1,14.734245560568638,35.56778143618674,38.74390080186087,158.9363484833745,3.650524615589811,7.257371654013966,30.489872586995624,0,4.17
