fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns,RT,incorrect
84,./playback/STIMULI/chinese/wavFilesTest/BAC009S0347W0130_BAC009S0761W0231_04_92_nspkrs_2.wav,2,2,TEST,0.0,9.932,10.414,19,18.118120429482587,31.22351555109468,34.26417885596459,113.86594967228922,0.3319993251513456,2.5830982692290547,28.661680128468408,0,4.92,0.4819999999999993,0
5,./playback/STIMULI/chinese/wavFilesTest/BAC009S0019W0426_BAC009S0733W0302_02_75_nspkrs_2.wav,2,2,TEST,0.0,6.473,6.872999999999998,19,1.6688376245463985,29.222162820896468,30.5344285930277,3.4091653725081983,0.558550499096274,0.5207848044607317,61.03872804082885,0,2.75,0.3999999999999986,0
27,./playback/STIMULI/chinese/wavFilesTest/BAC009S0070W0447_BAC009S0083W0159_03_98_nspkrs_2.wav,2,2,TEST,0.0,8.464,8.738,19,9.355132016503319,56.772376029343484,57.780995075174104,108.50259531099522,0.8603662426689382,5.140019082086624,48.78830571456192,0,3.98,0.27399999999999913,0
16,./playback/STIMULI/chinese/wavFilesTest/BAC009S0049W0316_BAC009S0049W0136_03_24_nspkrs_1.wav,1,1,TEST,0.0,6.093,6.332999999999998,19,18.338331694475453,24.83951315090181,26.142725267837427,90.68709085900416,1.0327424792998698,0.4947049558855525,34.14307036532262,0,3.24,0.23999999999999844,0
43,./playback/STIMULI/chinese/wavFilesTest/BAC009S0108W0444_BAC009S0108W0334_02_99_nspkrs_1.wav,1,1,TEST,0.0,7.207999999999998,7.697,19,7.409390303869087,14.73200663395244,15.68931492443942,2.5317311268468075,1.1718283322494916,1.139801363358444,35.56460522460252,0,2.99,0.48900000000000166,0
42,./playback/STIMULI/chinese/wavFilesTest/BAC009S0095W0359_BAC009S0916W0408_04_44_nspkrs_2.wav,2,2,TEST,0.0,8.986,9.331,19,5.4106803326900925,40.93549993657436,42.36941474008136,2.163260689478875,2.477870583936033,0.2155162034104308,44.27491945147912,0,4.44,0.34499999999999886,0
88,./playback/STIMULI/chinese/wavFilesTest/BAC009S0422W0435_BAC009S0727W0193_03_00_nspkrs_2.wav,2,2,TEST,0.0,6.074,6.4110000000000005,19,34.68423439235065,32.889466239749346,35.19069344213773,68.03747653736048,3.4362430126321595,0.3691249744737206,49.94345987683999,0,3.0,0.33700000000000063,0
12,./playback/STIMULI/chinese/wavFilesTest/BAC009S0039W0369_BAC009S0058W0344_04_43_nspkrs_2.wav,2,2,TEST,0.0,7.47,7.745,19,7.023952250179918,24.456439552895002,25.881788412835302,8.009874687467741,2.387671243351809,0.7409667479294768,44.29197409859701,0,4.43,0.27500000000000036,0
17,./playback/STIMULI/chinese/wavFilesTest/BAC009S0050W0290_BAC009S0078W0244_04_21_nspkrs_2.wav,2,1,TEST,0.0,8.488,8.812000000000003,19,0.6915442058072472,17.518124516933412,20.327143893339844,24.577871315479456,3.2029502380388504,0.6343225391886875,38.433673718937996,0,4.21,0.3240000000000034,1
14,./playback/STIMULI/chinese/wavFilesTest/BAC009S0043W0165_BAC009S0043W0142_02_66_nspkrs_1.wav,1,1,TEST,0.0,6.352,6.9510000000000005,19,6.528674408246488,33.87687753268797,34.292275865559446,90.68230633928906,0.9944632085779554,0.9669543025335088,34.061030815604234,0,2.66,0.5990000000000002,0
13,./playback/STIMULI/chinese/wavFilesTest/BAC009S0039W0451_BAC009S0039W0210_04_62_nspkrs_1.wav,1,1,TEST,0.0,7.612,8.258,19,0.3203774183182304,23.783019216985874,25.266423767098647,98.25531578086004,0.4953619444409823,1.2469045223988928,30.93263664926156,0,4.62,0.645999999999999,0
